IdCliente,Nombre,FechaNacimiento,Genero,Nacionalidad,ProvinciaResidencia
1,"Kim, Zahra",1957-03-12,F,GM,La Rioja
2,"Botello Paez, Martina",1948-10-18,NA,ES,Islas Balears
3,"Bell, Nathanial",1953-02-09,M,ES,Barcelona
4,"Lucero, Heron",1959-12-25,F,ES,Asturias
5,"Murphy, Danyel",1944-05-10,NA,KE,Cáceres
6,"el-Younes, Mawdood",1950-01-10,M,ES,Granada
7,"Exum, Joseph",1943-10-06,F,NA,Ávila
8,"Tadeo, Nikole",1971-04-14,NA,ES,Valladolid
9,"el-Abu, Hawraa",1969-09-24,M,ES,Islas Balears
10,"el-Sani, Ismad",1944-12-25,F,ES,Huelva
11,"Macdougall, Tyler",1977-10-25,M,CH,Las Palmas
12,"Trujillo, Monica",1966-05-01,NA,ES,Córdoba
13,"el-Shahidi, Jubair",1976-08-31,M,MO,Vizcaya
14,"Thompson, Luke",1994-08-31,M,ES,Cáceres
15,"al-Meskin, Abdul Majeed",1977-08-25,M,ES,Badajoz
16,"Vang, Nathan",1965-05-18,M,ES,Málaga
17,"Pfannenstiel, Sierra",1949-09-09,F,DO,Palencia
18,"Haines, Denika",1943-06-04,M,ES,Zamora
19,"Schultz, Zachary",1940-08-25,F,SE,Córdoba
20,"el-Mussa, Tharwa",1990-12-09,M,ES,Teruel
21,"Cleary, Kendra",1980-07-29,M,ES,Salamanca
22,"White, Dominique",1973-09-21,NA,ES,Cuenca
23,"Mulinde, Stephon",1972-09-21,F,NA,Islas Balears
24,"Garcia, Kaho",1976-04-06,F,ES,Castellón
25,"Richter, Allison",1952-06-25,F,NA,Valencia
26,"Mose, Cody",1988-06-05,M,ES,Córdoba
27,"al-Pirani, Thaamir",1990-02-12,F,ES,Valencia
28,"al-Zaher, Musheera",1954-11-05,M,ES,Barcelona
29,"el-Mohamad, Nazeema",1977-11-30,F,KP,Barcelona
30,"Lefaire, Desjanay",1978-02-04,M,ES,Zamora
31,"Stapleton, Octavia",1985-08-01,M,IM,Santa Cruz de Tenerife
32,"Williams, Hannah",1983-06-10,M,ES,Guipúzcoa
33,"Gonzales, Jose",1951-11-06,M,ES,Cádiz
34,"Nguyen, Hoang",1990-08-24,NA,ES,Vizcaya
35,"Sanchez, Jeremy",1949-09-26,NA,PS,Cuenca
36,"Darnell, Denica",1979-08-25,NA,ES,Las Palmas
37,"Ehrenberger, Caitlin",1967-09-20,M,LK,Valladolid
38,"Dotson, Danika",1980-09-15,F,ES,Gerona
39,"Stephenson, Micah",1941-12-31,F,ES,Almería
40,"Zachary, Kaitlyn",1970-10-27,NA,ES,Granada
41,"Vang, Carl",1958-11-14,F,NA,Zamora
42,"Duran, Juan",1981-11-17,M,ES,Albacete
43,"Hapke, Ashley",1947-09-21,F,AW,Palencia
44,"Bowman, Michaela",1950-02-07,NA,ES,Ávila
45,"Smith, Marley",1985-09-04,F,ES,Almería
46,"Almanza, Antonio",1956-02-21,F,ES,Guadalajara
47,"Edwards, Daniel",1974-02-02,F,SC,Córdoba
48,"Brack, Joshua",1979-04-04,F,ES,Lugo
49,"Anaya, Brenden",1947-03-13,F,GP,Granada
